,date,lasso_r2,lasso_spearmanr
0,2000/7,-0.00022952767217687686,
1,2001/1,-0.00046359069234402916,
2,2001/7,-0.0005493546357040469,
3,2002/1,-0.0004050174169352161,
4,2002/7,-0.0004947878702308284,
5,2003/1,-0.0004742924860932085,
6,2003/7,-0.0006559283012235184,
7,2004/1,-0.0010031307868596517,
8,2004/7,-0.000993658022352184,
9,2005/1,-0.0008988684218098619,
10,2005/7,-0.0009075921995722602,
11,2006/1,-0.0011065535059626708,
12,2006/7,-0.0010188076838664184,
13,2007/1,-0.0014708147539710392,
14,2007/7,-0.0010598576147271555,
15,2008/1,-0.0011230243921942495,
16,2008/7,-0.0012855805911577978,
17,2009/1,-0.0013595623158402237,
18,2009/7,-0.0013590298817185431,
19,2010/1,-0.0014701519032274124,
20,2010/7,-0.001482886667794725,
21,2011/1,-0.0016311585198371947,
22,2011/7,-0.001617130650585219,
23,2012/1,-0.002112071071812327,
24,2012/7,-0.0017351422486198143,
25,2013/1,-0.002198795148158128,
26,2013/7,-0.0016345626116938128,
27,2014/1,-0.0020456608120171804,
28,2014/7,0.8701040061280341,0.27440565644133796
29,2015/1,0.8410254245469094,0.27237099642323204
30,2015/7,0.8062355951486478,0.2808674044121875
31,2016/1,0.7988598342322035,0.29123187119272326
32,2016/7,0.7606340835964742,0.2987591622617078
33,2017/1,0.6567823404121822,0.29812094858895327
34,2017/7,0.6442994359844174,0.3087960652128439
35,2018/1,0.45541479732681966,0.32115156232305836
36,2018/7,0.3226300469998822,0.3371086281047074
37,2019/1,0.2803628733090374,0.3277424936627391
