,date,SVR,Lasso,Ridge,ElasticNet,OrthogonalMatchingPursuit,PassiveAggressiveRegressor
0,2000/7,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686
1,2001/1,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916
2,2001/7,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469
3,2002/1,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161
4,2002/7,0.334790255322724,0.497943641611271,0.39536252489045587,0.23219066218164353,0.09681720517786685,-0.0502616939326872
5,2003/1,0.4421033508616353,0.5069546342869178,0.5172664523985215,0.5114742196172389,0.47198652800503693,0.5625000158265847
6,2003/7,0.49420042314379076,0.5607719634728252,0.5749920986311685,0.5495489020363644,0.5151558448037301,-3.7764072838321905
7,2004/1,0.4295211755784819,0.48346919653983855,0.5189492942041678,0.5625634372552031,0.5540355949756066,0.4545974470475984
8,2004/7,0.52583313524995,0.5880523180758193,0.6240335397428798,0.6125486727966898,0.5926027324120632,0.5272547145602922
9,2005/1,0.53297888574948,0.5923190764706228,0.623324211303255,0.6071083838629323,0.5880920702378594,0.5533067133440333
10,2005/7,0.5387302217857277,0.6047741899480028,0.6429976501261081,0.6680181502381268,0.6563434557551064,0.5475150862934299
11,2006/1,0.48994032696958856,0.5642573696550846,0.6005310082065463,0.6993401779126559,0.697630854062135,0.6519102224051949
12,2006/7,0.5395776887074916,0.6741016666675971,0.7131961746565698,0.7728640279051496,0.7581042631295664,0.6126048958853749
13,2007/1,0.523926334216027,0.6594071745470423,0.6668754114635593,0.7667444795535413,0.7615247114797242,0.6169201577166934
14,2007/7,0.6075450697917344,0.7521770409552564,0.7478883982518119,0.7765013475186374,0.766589166068916,0.5750192587130163
15,2008/1,0.5492885844406941,0.7120684840830234,0.7293638533451015,0.8064523660968304,0.8022699790038978,0.722224820670686
16,2008/7,0.546279113863872,0.7170102404229255,0.7025499922009063,0.8302416907537344,0.8285737832166392,0.6771083086351112
17,2009/1,0.6007870776065145,0.7797915317554551,0.7687626081577208,0.8054060480159357,0.8002679185967296,0.7142649219453119
18,2009/7,0.6799992788553286,0.7705071108572583,0.8001900111279816,0.685148586537232,0.6775828325343958,0.5168137925658375
19,2010/1,0.6155084641660051,0.7808873561501667,0.7753241794010832,0.8243755837274042,0.8215752513214687,0.6520604389900266
20,2010/7,0.653145896194248,0.7783766589457625,0.7950898395708388,0.7879174858166944,0.7836298919697772,0.7355894322460561
21,2011/1,0.6818927295310662,0.7725538143186378,0.8065408434192141,0.7937626312252103,0.7924710132813831,0.6518928701086972
22,2011/7,0.6874741586764799,0.8010937496023797,0.7930193053443336,0.8389738763308111,0.8370238059430287,0.5800380319223714
23,2012/1,0.7043504663958773,0.7790673240762469,0.7771646397039706,0.820347209747379,0.8187077433263931,0.7268222399090878
24,2012/7,0.7078287858604014,0.7861685097868087,0.7858651541440042,0.828928751424124,0.8263434359478021,0.5457636560564232
25,2013/1,0.7151979290753041,0.7724951340339854,0.7881777196267232,0.8168053194432545,0.8118317694027822,0.6819186916368181
26,2013/7,0.6985980492134383,0.8092192775496235,0.7971023262171552,0.8667873567554623,0.8610373153053366,0.7478598773139433
27,2014/1,0.7071448761092767,0.808717585170239,0.8283586183167732,0.8541063165919165,0.8360054031336935,0.6193507880440752
28,2014/7,0.6547044766061088,0.7836408662942875,0.8151775306364258,0.8704982039741882,0.8660616992397796,0.6470549226533724
29,2015/1,0.6132599996619668,0.7758545471667282,0.7924703624274525,0.8499670023828096,0.8451060366002401,0.6507523126093339
30,2015/7,0.5669583512939356,0.7525843273257617,0.7460583477885481,0.8363043159505564,0.8278083748121488,0.7396173727857238
31,2016/1,0.5793867249886804,0.7503473777942021,0.7577017536013096,0.8450431532913036,0.8408465905352246,0.6612486657292449
32,2016/7,0.535384289396251,0.729645194573306,0.713790050038061,0.8303087349462837,0.8286620099869018,0.7613367578647537
33,2017/1,0.4484443724302617,0.6810897890278533,0.6586582766584348,0.7656041954221203,0.7598964816181516,0.43411049533782764
34,2017/7,0.490302305652744,0.7889378919554474,0.830169760306561,0.8639924623167813,0.8237062190186986,0.7722795708749955
35,2018/1,0.3925290444577135,0.6039336363643755,0.5604063807104621,0.709456707183251,0.7205005199940321,0.3675414427142403
36,2018/7,0.3348651951263022,0.5762860505269809,0.5223407001609408,0.6701056726575162,0.6785735975249159,0.7136453199648667
37,2019/1,0.2337625776815645,0.4615773309796869,0.41007844488302514,0.5465705487558796,0.5291325415312361,0.2836702212066845
38,2019/7,0.22561630272611943,0.5751520387561115,0.5855059403853987,0.6287888626731056,0.5974740298189345,0.3698909152353431
39,2020/1,0.17563670174640744,0.5152738387318198,0.583298695213855,0.5770136245401716,0.42348907386654133,0.2685353766102888
40,2020/7,0.14862711523830296,0.6265237816878062,0.5506983740203615,0.6370003433969534,0.6303237723411004,0.27789165714705644
41,2021/1,0.09259332678877208,0.5971027781398625,0.4991161209775531,0.5815470350747791,0.6743438735727219,0.18672336953436197
42,2021/7,0.08374419270880418,0.8285539938394753,0.8417847103100689,0.8810889468232757,0.7706435127592289,0.29359073242130496
