,date,svr_r2,lasso_r2,ridge_false_r2,ridge_true_r2
0,2000/7,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686
1,2001/1,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916
2,2001/7,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469
3,2002/1,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161
4,2002/7,0.3597961007492221,0.31254003969184463,0.07967369267335034,0.3982296391018686
5,2003/1,0.45918566066137245,0.5378043842561168,0.46248249158066224,0.5144043436857013
6,2003/7,0.5100471545808962,0.5740534173376897,0.5112104655221023,0.5639320437618733
7,2004/1,0.4375824866230519,0.5679264556772128,0.555658215445503,0.5130957099917772
8,2004/7,0.5343395593674184,0.6270152864212628,0.570535605287672,0.6157410090513963
9,2005/1,0.5374279685472723,0.6212673305747733,0.5680916666683944,0.6141768883057537
10,2005/7,0.5427945803037935,0.6765703674779944,0.6306204932083364,0.6203889266912825
11,2006/1,0.49135785198250703,0.6999595576674907,0.6963435155216132,0.5678375546826544
12,2006/7,0.5435445063282772,0.7774150518666105,0.7649235774526519,0.726758003506627
13,2007/1,0.5240592078388318,0.7637704618979683,0.7446781050412321,0.6123869535950661
14,2007/7,0.610108086810039,0.7814441743887575,0.7538663100186502,0.64943310115083
15,2008/1,0.5511887593210761,0.8065537289687384,0.7861766320263389,0.6786535623720642
16,2008/7,0.5491542529543989,0.8268281795655619,0.7934927365544178,0.6845844648351894
17,2009/1,0.6048680722573861,0.8068686412405263,0.7836174253321948,0.7486103252503513
18,2009/7,0.6832356880675466,0.7022357128748534,0.6824567418897223,0.7177014024736906
19,2010/1,0.6177895178766261,0.8233447087326801,0.7918282273638133,0.7795168046572862
20,2010/7,0.6570230068415406,0.793909470411996,0.7694274878752994,0.7812727915486719
21,2011/1,0.685399472145707,0.7961747559393351,0.7517717843577852,0.7804413641780259
22,2011/7,0.6915443841924446,0.8362916373341065,0.8102128127112678,0.7137400773578962
23,2012/1,0.7087758626540627,0.822188368810451,0.7640703993508268,0.7869763872668118
24,2012/7,0.7105113861086064,0.8401718063512998,0.7719583355232182,0.8068233511590092
25,2013/1,0.7174768593371106,0.8157920936178711,0.7550375047983304,0.7845728420866862
26,2013/7,0.7009504850658235,0.8555320180004303,0.8187133345284351,0.8069742431541753
27,2014/1,0.7082448687366146,0.8518222311575475,0.8036191551254408,0.8288795842614263
28,2014/7,0.6560365763789444,0.8721718555712741,0.8447181436798007,0.8171692295297438
29,2015/1,0.6137509483177632,0.8580639088732956,0.8397849440562672,0.8061791170329036
30,2015/7,0.5684746973043726,0.8373503546477721,0.8063120613478211,0.8197358156238396
31,2016/1,0.5812076922138237,0.8541667378108446,0.8052062129054127,0.8116782236305341
32,2016/7,0.5362917902391203,0.86119591667037,0.841360027834743,0.8475229351990017
33,2017/1,0.447725368585554,0.7894188326425525,0.801570153010256,0.803157155082921
34,2017/7,0.4899420735250073,0.7026782122878417,0.7702603186314319,0.74828589849733
35,2018/1,0.3913132779184654,0.7295480924757153,0.6763855562658962,0.7551740263302673
36,2018/7,0.3323987625249296,0.8118860669172729,0.8004506253121358,0.7989518879069865
37,2019/1,0.23048999212955212,0.7823204158285865,0.7857847011303599,0.7452102451131417
38,2019/7,0.22169021342791317,0.8654979916809069,0.8964499578415336,0.8935241401948804
39,2020/1,0.17101430208078394,0.9116472324654833,0.9297780031191913,0.9076767301075245
40,2020/7,0.14210761637625968,0.8252129910946051,0.8797430977843015,0.9483191624863031
41,2021/1,0.08839979322261249,0.8971391751625082,0.9035791520116991,0.8312208591971468
42,2021/7,0.07582056506113322,0.7345955891777405,0.7394637624065994,0.9021909373351831
