,date,lasso_r2,lasso_spearmanr
0,2000/7,-0.00022952767217687686,
1,2001/1,-0.00046359069234402916,
2,2001/7,-0.0005493546357040469,
3,2002/1,-0.0004050174169352161,
4,2002/7,-0.0004947878702308284,
5,2003/1,-0.0004742924860932085,
6,2003/7,-0.0006559283012235184,
7,2004/1,-0.0010031307868596517,
8,2004/7,-0.000993658022352184,
9,2005/1,-0.0008988684218098619,
10,2005/7,-0.0009075921995722602,
11,2006/1,-0.0011065535059626708,
12,2006/7,-0.0010240354113353334,
13,2007/1,-0.0014737558254904748,
14,2007/7,-0.001069324554775486,
15,2008/1,-0.0011322019437467468,
16,2008/7,-0.0012823243338158097,
17,2009/1,-0.0013760373465392384,
18,2009/7,-0.0013590298817185431,
19,2010/1,-0.0014736454728647708,
20,2010/7,-0.001490823352105819,
21,2011/1,-0.0016311585198371947,
22,2011/7,-0.0016223964704213945,
23,2012/1,-0.002119874289284507,
24,2012/7,-0.001728644893003617,
25,2013/1,-0.0022118862407536355,
26,2013/7,-0.0016345626116938128,
27,2014/1,-0.002054256569339108,
28,2014/7,-0.0017891466876267526,
29,2015/1,-0.0020509756725271,
30,2015/7,-0.00183871587421236,
31,2016/1,-0.002629180155902189,
32,2016/7,-0.0022367225472663677,
33,2017/1,0.8776543394969267,0.3081638380131257
34,2017/7,0.8854968131816341,0.3085935325850335
35,2018/1,0.807741085570133,0.3234605978044879
36,2018/7,0.7508088577288823,0.3328169440811674
37,2019/1,0.6148125153338031,0.34952403487955463
38,2019/7,0.6007576179845106,0.3573487156460552
39,2020/1,0.5097150540496929,0.3558520015587094
40,2020/7,0.4807914648740803,0.3656512478111104
41,2021/1,0.3484259794648844,0.3747599633290798
42,2021/7,0.33745927258177777,0.37638323821929504
