,date,linear_regression_r2,svr_r2,lasso_r2,ridge_false_r2,ridge_true_r2
0,2000/7,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686
1,2001/1,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916
2,2001/7,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469
3,2002/1,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161
4,2002/7,-1.7457298948739006,0.35689540568567835,0.3292618221767363,-0.11455032062717696,0.25065119548652437
5,2003/1,-0.20705272992599877,0.45634395542675144,0.5382121744880165,0.411474390509991,0.48798655087747933
6,2003/7,-0.11924949553379793,0.5054528499088806,0.5680641025423627,0.4113454935191825,0.4982092004112494
7,2004/1,0.22995807638269328,0.4388998227792936,0.5642217341587328,0.4970316437498671,0.4650548426789376
8,2004/7,-0.5698648585129051,0.527577241300927,0.5941479240338329,0.3748043273445788,0.5143864390237209
9,2005/1,-0.433104195372658,0.5359287284479931,0.6216562817720694,0.5010701749309179,0.5971983692911342
10,2005/7,0.14911329222145853,0.5401391840879158,0.6210079105183648,0.4870618423701252,0.6168680581264698
11,2006/1,0.06759264846578861,0.49035332059876424,0.6841061824269015,0.6164354096605131,0.5737083653158855
12,2006/7,-0.2174870187856044,0.5357184931377282,0.762797952066078,0.6679135547219885,0.7078158739870744
13,2007/1,0.22475887119985594,0.5218811673408932,0.7449444428248175,0.6285095362765277,0.739910856753148
14,2007/7,-0.08015152705696482,0.6062395847072322,0.7560647482800544,0.6619279375317288,0.762336028093179
15,2008/1,-0.2787273904760703,0.5548586480880848,0.8044535822114374,0.7665915651528776,0.7561835772424641
16,2008/7,0.1396942031411419,0.5460907217350859,0.8334457989445765,0.8037353178463571,0.8069684848960351
17,2009/1,0.12266727720113535,0.6063255929757334,0.755772403303837,0.7106262840368127,0.7578532817841849
18,2009/7,-0.8352621530550894,0.6928276423081706,0.6411790454113875,0.5568739038018593,0.7485364114971638
19,2010/1,-0.6070775343030157,0.6275554025482959,0.8210441468923455,0.7748652674974892,0.7979277380595561
20,2010/7,-0.30929492642685563,0.6614886205467123,0.8027591028892604,0.7491743675356035,0.7983447966492085
21,2011/1,-1.2970560251338026,0.6899775439828157,0.786387645242329,0.7000037170490345,0.8037427806104218
22,2011/7,-0.13548551844173917,0.6922995196733978,0.8349404951625408,0.789547940092932,0.8052940683490842
23,2012/1,0.09223269281114777,0.7065355073490862,0.8161989858570076,0.7733907429330192,0.8073584990421702
24,2012/7,-0.3544010392248551,0.7120890540124847,0.8195569811957741,0.7673683913332647,0.7960602658681045
25,2013/1,-1.042696508740435,0.7158903540695222,0.816403005340156,0.7728240021536574,0.797921531448688
26,2013/7,-0.2119492275686421,0.7008102570483874,0.8621937075692117,0.8123489146576106,0.7527333712928986
27,2014/1,-1.5680441168893005,0.7063876293062958,0.8588525479671517,0.8121548190749619,0.8428959478548135
28,2014/7,-0.95760547408912,0.6550907235241638,0.8727495406160429,0.84976907494638,0.8075956267123345
29,2015/1,-2.1624543090569723,0.611079041941711,0.8681319413290169,0.8203065767986457,0.8430420364059124
30,2015/7,-2.3513162708364184,0.5591216843122351,0.8796432211983974,0.8405810456709547,0.8295080374291863
31,2016/1,-1.5632226558554367,0.5697737614394685,0.8738097969679453,0.8424452762115592,0.842040360140806
32,2016/7,-0.8279920039106103,0.530076852128401,0.8943195167413128,0.8767188584005481,0.8467753860539086
33,2017/1,-1.9969603371753966,0.43774002425924774,0.8683168466024247,0.8430790118044582,0.8393868478737657
34,2017/7,-0.5699326433654404,0.43439814411055877,0.8001029672378046,0.7659462578705563,0.8813987324259711
35,2018/1,-0.36913852287120985,0.3082382623966874,0.8442221716763894,0.8440139907631397,0.7681051794925489
36,2018/7,-5.065961852698231,0.2123653645062047,0.9057403950714837,0.9007154515186904,0.8385544496879751
37,2019/1,-4.61798219296216,0.18848967858030186,0.7657451905984537,0.7372808009753177,0.9189100680123661
