,date,linear_regression_r2,svr_r2,lasso_r2,ridge_false_r2,ridge_true_r2
0,2000/7,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686
1,2001/1,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916
2,2001/7,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469
3,2002/1,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161
4,2002/7,-1.5470940791212189,0.3544562455685437,0.3271994101604392,-0.09058408611617552,0.26627837734460824
5,2003/1,-0.12051466935803012,0.45612023964858406,0.5380906102090335,0.40884932751446634,0.497286344754713
6,2003/7,0.06498849410244578,0.5055684862599369,0.5690123523909179,0.4146830894885959,0.5245257075026952
7,2004/1,0.3957469004290072,0.43889733504596384,0.5716927992346987,0.5349418585252002,0.5008131666718579
8,2004/7,-0.47454025743595873,0.5271862856599772,0.5947918051084982,0.3727855372185529,0.5224104434201241
9,2005/1,0.19508320815075875,0.5360697309560414,0.6212183962994837,0.5047708286241552,0.589959398506841
10,2005/7,0.22174926429031172,0.5400980809276412,0.623335331388464,0.5045603515125343,0.6511367884931569
11,2006/1,0.5175595794771328,0.4905748815242025,0.6874886713979105,0.6375396878143315,0.6015551269340753
12,2006/7,0.251604639378725,0.5331502002211033,0.7580274221874413,0.6568646530002843,0.7470650621441011
13,2007/1,0.2500481348936756,0.5208854991072097,0.7575702315395947,0.7116238302981202,0.73903263454299
14,2007/7,0.14741378943987993,0.6068548551940772,0.7589906522277898,0.6634489113290102,0.7647493380385706
15,2008/1,0.4402210139555399,0.5521836790068113,0.802198874555594,0.7734924736071525,0.7644706923701815
16,2008/7,0.28913621378298093,0.545355205721167,0.8413979677385947,0.8070996861333875,0.8085381539169731
17,2009/1,0.30196917681390345,0.6059545255991807,0.7707723141547134,0.7254868270661949,0.7811118750671744
18,2009/7,-1.7958264284984442,0.6928496962850936,0.6645772567098529,0.5907513330451514,0.7504249783544514
19,2010/1,0.3951467745168108,0.62783657670505,0.8174348983248843,0.780872234076038,0.8026792027051619
20,2010/7,0.5685908416793075,0.6636977172124272,0.7993529894451239,0.7529284243969934,0.8079759521831388
21,2011/1,0.440959636263354,0.6903238056522198,0.7906365016262447,0.7383799935576509,0.7993726775604483
22,2011/7,0.6947400797863974,0.6926712063628848,0.8372712524314281,0.8104258538434719,0.8043542793254631
23,2012/1,0.6658894355685647,0.7061435671987082,0.8196801551446123,0.7848844757382238,0.8097188742570037
24,2012/7,0.6521272674817711,0.7104279083823278,0.8202251812317486,0.7753742669903324,0.7983032422888783
25,2013/1,0.6896247770639112,0.7173787053135248,0.8184266410524671,0.7777326826313599,0.8015340615919078
26,2013/7,0.6230200279451177,0.7014354669546305,0.8640432407455974,0.8104841197403596,0.7731372061860267
27,2014/1,0.7532748341762376,0.706176653524325,0.8574596082172838,0.8270824202612641,0.8433581476240878
28,2014/7,0.7983198651629984,0.6553824857033879,0.872008993553676,0.8495583187135691,0.8050070665714993
29,2015/1,0.7973837195906792,0.6080140907612503,0.8719759644638121,0.8514433876339577,0.8446908069029058
30,2015/7,0.8247523588414287,0.5592345815357348,0.8852123886617369,0.8712713608477494,0.8177410615278207
31,2016/1,0.8287321840589876,0.5680253638822172,0.8735630369111829,0.8632893961003183,0.838800700925689
32,2016/7,0.8297892139565042,0.5310515609296489,0.8953767699298668,0.8751224759803011,0.8499970879176268
33,2017/1,0.8527497225766469,0.4405600327040118,0.8766521687843445,0.866408450245961,0.8338049324849008
34,2017/7,0.7061273050935459,0.47322901423666586,0.7397210766104261,0.7298701942734476,0.8637296216423991
35,2018/1,0.8490000546445062,0.3863708162066032,0.8655896044705387,0.8721735691393122,0.8158715045526995
36,2018/7,0.709973280162224,0.32232381374608887,0.91206746326815,0.8982556448508887,0.8636095480183374
37,2019/1,0.8517859758056104,0.2222603624971663,0.892755875314003,0.9053711134124494,0.8414333782723399
38,2019/7,0.5689332077283595,0.2089304745567846,0.7444702404841665,0.6975244425251546,0.8619269434168453
39,2020/1,0.7254419341623919,0.16423698061199854,0.9355170431117282,0.9334736114073263,0.8855612504066384
40,2020/7,0.49240220498512577,0.13508302657006122,0.9543078891462172,0.9432588131114628,0.9017016525468862
41,2021/1,0.8594172397537418,0.08321319178167397,0.8999323346199943,0.9079263044207735,0.8591912879872328
42,2021/7,0.7419123942552242,0.07151768991909557,0.8854944261162713,0.8668616995106941,0.9621419068005097
