,date,svr_r2,lasso_r2,ridge_false_r2,ridge_true_r2
0,2000/7,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686,-0.00022952767217687686
1,2001/1,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916,-0.00046359069234402916
2,2001/7,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469,-0.0005493546357040469
3,2002/1,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161,-0.0004050174169352161
4,2002/7,0.359329698174367,0.31254011036355356,0.10042478686694656,0.39499893918402884
5,2003/1,0.4590364985077793,0.5405013403102602,0.46901423674422404,0.5177335435621064
6,2003/7,0.5097794296986025,0.5738855577968769,0.5127282727575506,0.5794761019763229
7,2004/1,0.4374668773254673,0.5683806542390544,0.5567511340766802,0.5145478934753165
8,2004/7,0.5346000572928675,0.6269138466099585,0.5893174591157667,0.622532833525056
9,2005/1,0.5372719037347582,0.6212673281821747,0.5872801802486731,0.6244923658381778
10,2005/7,0.5427936016557103,0.6765848574909784,0.6576852108487838,0.6445143491319205
11,2006/1,0.4914496734796727,0.7002700510002029,0.6944692033486222,0.5912113382847977
12,2006/7,0.5464351347288374,0.7785698534933898,0.7611896686898704,0.6591756655222392
13,2007/1,0.5255780768635308,0.7708627532243457,0.7652998673526281,0.6715369013478011
14,2007/7,0.6099251314917856,0.7802572479018521,0.7685812152533069,0.7569044930254374
15,2008/1,0.5536079640675851,0.8076017148626015,0.804534088380719,0.6956888537765853
16,2008/7,0.5499922556184338,0.8316178675288086,0.8298722563037858,0.7151320546819491
17,2009/1,0.6049273273164196,0.8089574573962904,0.8058946198467327,0.7540239196170554
18,2009/7,0.6836869824042913,0.6913082476209244,0.7084438046081409,0.795023598712662
19,2010/1,0.6182194107481158,0.82604783815263,0.8231218361125496,0.7569057692589773
20,2010/7,0.655374790530727,0.7981447677519625,0.7854159932360332,0.7693197510669186
21,2011/1,0.6855691407121436,0.7924111315386866,0.7557973775241349,0.7852779011443015
22,2011/7,0.6914208727602098,0.8367788249430599,0.8116646065106856,0.8148665366747202
23,2012/1,0.7090958639278068,0.8227283102395083,0.8047026449592534,0.7922026896126075
24,2012/7,0.7123149160666925,0.8281705654815905,0.8131697477372073,0.7671946057705885
25,2013/1,0.7158504611493988,0.8159788402603184,0.7941246448639528,0.747407231102799
26,2013/7,0.7006028257318994,0.8672703996444316,0.840585873943844,0.8174309102941482
27,2014/1,0.7085201804386322,0.8553812178641438,0.8325701767260835,0.8332641446631641
28,2014/7,0.6555944891601914,0.8705145428980299,0.8623298220135197,0.7371201269054521
29,2015/1,0.6166172847800142,0.8486625750279558,0.8439574019131925,0.7811965318786191
30,2015/7,0.567482049287295,0.8561827931101486,0.8452408463868775,0.8467629822870318
31,2016/1,0.5826081264687071,0.84301601269166,0.8257345948750336,0.7582577650175116
32,2016/7,0.5349989574141596,0.8583469371614614,0.8673607725835796,0.7681844856238431
33,2017/1,0.44492203564217125,0.7377953415349462,0.7618663646619795,0.755082243996601
34,2017/7,0.450254159535597,0.8009204446643693,0.8081633141533084,0.7329117198170688
35,2018/1,0.31495001642869225,0.6746921281903598,0.6827665194184969,0.6686958056687278
36,2018/7,0.22529246708702944,0.7521912340579346,0.7853339889704246,0.7794806171411234
37,2019/1,0.2023585976341189,0.7139565348513564,0.8344610919798456,0.8424714733406959
